"Product","Status","5K Pricing","CPU","Architecture","Family/Core","Program Memory Size (Kbytes)","Program Memory Size (KWords)","Bootload capable","RAM (bytes)","EEPROM / HEF","I/O Pins","Pin count","Max. CPU Speed MHz","Peripheral Pin Select (PPS)","Vbat for battery backup","Brown-Out Reset (BOR)","Low Voltage Detection","Power On Reset (POR)","Internal Oscillator","Hardware RTCC","Watch Dog Timers (WDT)","# of Comparators","Operational Amplifier","# of A/D Converters","Total # of A/D channels","Max A/D Resolution (bits)","ADC Mode:Max A/D Sample Rate (ksps)","ADCC with Computation","Number of D/A Converters","Number of DAC outputs","Max D/A Resolution (bits)","Internal Voltage Reference (Bandgap)","Zero Cross detect","Slope Compensation / Programmable Ramp Generator","Data Signal Modulator (DSM)","CTMU","Max 8 Bit Digital Timers","Max 16 Bit Digital Timers","Signal Measurement Timer","Hardware Limit Timer","Stand alone PWM","Capture / Compare/PWM (CCP)","Enhanced Capture/Compare/PWM (ECCP)","Max # PWM outputs (including complementary outputs)","Number of PWM Time Bases","Max PWM Resolution (bits)","Quadrature Encoder Interface (QEI)","Angular Timer","Math Accelerator","UART","SPI™","I2C","Number of USB Modules","USB Speed","USB Active Clock Tuning","# of CAN Modules","CAN Transmit Buffers","CAN Receive Buffers","Ethernet","LIN","IrDA","Parallel Port","Windowed Watchdog Timer (WWDT)","CRC/Scan","Configurable Logic Cell Modules (CLC)","Complementary Waveform Generator (CWG) / Complementary Output Generator (COG)","Numerically Controlled Oscillator (NCO)","Programmable switched mode controller","Hardware Cap Voltage Divider ","Cap. Touch Channels","Segment LCD","Keeloq Hardware","Security, Encryption and Authentication ","JTAG","Temp. Range Min.","Temp. Range Max.","Operation Voltage Min.(V)","Operation Voltage Max.(V)","High Voltage Capable","Packages"
" AT32UC3A0128","In Production ","$5.91","32-bit AVR","32"," ","128","32","Yes","32768","0","109","144","66","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","4","6","1","1","Device + OTG","No","0","0","0","Ethernet AVB","No","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP 144/TFBGA"
" AT32UC3A0256","In Production ","$7.26","32-bit AVR","32"," ","256","64","Yes","65536","0","109","144","66","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","4","6","1","1","Device + OTG","No","0","0","0","Ethernet AVB","No","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP 144/TFBGA"
" AT32UC3A0512","In Production ","$7.79","32-bit AVR","32"," ","512","128","Yes","65536","0","109","144","66","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","4","6","1","1","Device + OTG","No","0","0","0","Ethernet AVB","No","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","144/LQFP 144/TFBGA"
" AT32UC3A1128","In Production ","$5.30","32-bit AVR","32"," ","128","32","Yes","32768","0","69","100","66","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","4","6","1","1","Device + OTG","No","0","0","0","Ethernet AVB","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3A1256","In Production ","$6.51","32-bit AVR","32"," ","256","64","Yes","65536","0","69","100","66","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","4","6","1","1","Device + OTG","No","0","0","0","Ethernet AVB","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3A1512","In Production ","$7.68","32-bit AVR","32"," ","512","128","Yes","65536","0","69","100","66","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","3","0","0","0","0","0","13","0","0","0","No","No","4","6","1","1","Device + OTG","No","0","0","0","Ethernet AVB","No","Yes","No","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","0","0","No","100/TQFP"
" AT32UC3A3128","In Production ","$6.93","32-bit AVR","32"," ","128","32","Yes","131072","0","110","144","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","12","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","144/LQFP 144/TFBGA"
" AT32UC3A3128S","In Production ","$7.33","32-bit AVR","32"," ","128","32","Yes","131072","0","110","144","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","12","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","Yes","Debug/Program/Boundary Scan","-40","85","3","3.6","No","144/LQFP 144/TFBGA"
" AT32UC3A3256","In Production ","$8.51","32-bit AVR","32"," ","256","64","Yes","131072","0","110","144","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","12","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","144/LQFP 144/TFBGA"
" AT32UC3A3256S","In Production ","$9.01","32-bit AVR","32"," ","256","64","Yes","131072","0","110","144","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","12","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","Yes","Debug/Program/Boundary Scan","-40","85","3","3.6","No","144/LQFP 144/TFBGA"
" AT32UC3A364","In Production ","$6.07","32-bit AVR","32"," ","64","16","Yes","131072","0","110","144","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","12","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","144/LQFP 144/TFBGA"
" AT32UC3A364S","In Production ","$6.40","32-bit AVR","32"," ","64","16","Yes","131072","0","110","144","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","384","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","12","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","EBI","No","No","0","0","0","0","No","32","0","No","Yes","Debug/Program/Boundary Scan","-40","85","3","3.6","No","144/LQFP 144/TFBGA"
" AT32UC3A4128","In Production ","$5.40","32-bit AVR","32"," ","128","32","Yes","131072","0","69","100","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","0","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","0","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","No","Debug/Program/Boundary Scan","-40","85","3","3.6","No","100/VFBGA"
" AT32UC3A4128S","In Production ","$5.50","32-bit AVR","32"," ","128","32","Yes","131072","0","69","100","84","Yes","No"," "," ","Yes","115Khz ","Yes","Yes","0","0","1","8","10","0","No","1","2","16","Yes","No","0"," ","No","0","6","0","0","0","0","0","0","0","0","0","No","No","4","6","2","1","Device + OTG","No","0","0","0","None","Yes","Yes","No","No","No","0","0","0","0","No","0","0","No","Yes","Debug/Program/Boundary Scan","-40","85","3","3.6","No","100/VFBGA"
