0	1	mikroCPIC1618.exe -MSF -DBG -pP16F1503 -RA -DL -O11111114 -fo8 -N"D:\PIC Project\tractor\source code\micro_1503\v2_2\tractor.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16_Enh\" -SP"D:\PIC Project\tractor\source code\micro_1503\v2_2\" -IP"D:\PIC Project\tractor\source code\micro_1503\v2_2\" "pwm3.c" "tmr0.c" "tmr2.c" "Tractor.c" "tmr1.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_PWM_150x.mcl"	 
hint: 0	1139	Available RAM: 112 [bytes], Available ROM: 2048 [bytes]	 
diagnostics: 0	122	Compilation Started	P16F1503.c
diagnostics: 1571	123	Compiled Successfully	P16F1503.c
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 123	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 14	123	Compiled Successfully	pwm3.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 102	123	Compiled Successfully	tmr0.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 17	123	Compiled Successfully	tmr2.c
diagnostics: 0	122	Compilation Started	types.h
hint: 323	1163	Variable 'flag' has been declared, but not used	Tractor.c
diagnostics: 341	123	Compiled Successfully	Tractor.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 61	123	Compiled Successfully	tmr1.c
diagnostics: 0	127	All files Compiled in 296 ms	 
hint: 0	1144	Used RAM (bytes): 74 (66%)  Free RAM (bytes): 38 (34%)	Used RAM (bytes): 74 (66%)  Free RAM (bytes): 38 (34%)
hint: 0	1144	Used ROM (program words): 1044 (51%)  Free ROM (program words): 1004 (49%)	Used ROM (program words): 1044 (51%)  Free ROM (program words): 1004 (49%)
diagnostics: 0	125	Project Linked Successfully	tractor.mcppi
diagnostics: 0	128	Linked in 94 ms	 
diagnostics: 0	129	Project 'tractor.mcppi' completed: 547 ms	 
diagnostics: 0	103	Finished successfully: 19 Aug 2018, 22:50:20	tractor.mcppi
