0	1	mikroCPIC1618.exe -MSF -DBG -pP16F1503 -RA -DL -O11111114 -fo8 -N"E:\Repository\RnD\Projects\tractor\source_code\micro_1503\v2_3\tractor.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16_Enh\" -SP"E:\Repository\RnD\Projects\tractor\source_code\micro_1503\v2_3\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16_Enh\" -IP"E:\Repository\RnD\Projects\tractor\source_code\micro_1503\v2_3\" "pwm3.c" "tmr0.c" "tmr2.c" "APP_OPSM.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_SoftUART.mcl"	 
hint: 0	1139	Available RAM: 112 [bytes], Available ROM: 2048 [bytes]	 
diagnostics: 0	122	Compilation Started	P16F1503.c
diagnostics: 1573	123	Compiled Successfully	P16F1503.c
diagnostics: 0	122	Compilation Started	__Lib_Delays.c
diagnostics: 123	123	Compiled Successfully	__Lib_Delays.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 14	123	Compiled Successfully	pwm3.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 99	123	Compiled Successfully	tmr0.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 16	123	Compiled Successfully	tmr2.c
diagnostics: 0	122	Compilation Started	types.h
diagnostics: 183	123	Compiled Successfully	APP_OPSM.c
diagnostics: 0	127	All files Compiled in 1297 ms	 
hint: 0	1144	Used RAM (bytes): 46 (41%)  Free RAM (bytes): 66 (59%)	Used RAM (bytes): 46 (41%)  Free RAM (bytes): 66 (59%)
hint: 0	1144	Used ROM (program words): 1038 (51%)  Free ROM (program words): 1010 (49%)	Used ROM (program words): 1038 (51%)  Free ROM (program words): 1010 (49%)
diagnostics: 0	125	Project Linked Successfully	tractor.mcppi
diagnostics: 0	128	Linked in 125 ms	 
diagnostics: 0	129	Project 'tractor.mcppi' completed: 3735 ms	 
diagnostics: 0	103	Finished successfully: 20 Dec 2018, 23:56:30	tractor.mcppi
